id_denuncia,timestamp,fecha_hecho,tipo_denunciante,departamento,ciudad_localidad,referencia_lugar,url_mapa,latitud,longitud,categoria_codigo,categoria_label,subcategoria,motivo_original,descripcion_libre,recurrencia,urgencia,denuncia_previa,organismo_previo,adjunto_url,via_ingreso,fuente,año,mes,trimestre,semana_año,dia_semana,hora,mes_nombre
URY-201000001,2010-01-05,2010-01-05,,Rocha,Cabo Polonio,,,-34.7261,-54.2343,CAT_01,Fauna silvestre,Actividades en áreas protegidas,Actividades en áreas protegidas,Rest. Con. De lobos.,,,,,,,historico_2010_2019,2010,1,1,1,1,0,Jan
URY-201000002,2010-01-12,2010-01-12,,Canelones,,,,-34.5483,-56.2184,CAT_05,Residuos y basura,Residuos,Residuos,Fabrica de reciclaje.,,,,,,,historico_2010_2019,2010,1,1,2,1,0,Jan
URY-201000004,2010-01-18,2010-01-18,,Maldonado,,,,-35.0605,-55.1733,CAT_04,Contaminación del agua,Contaminación cuerpo de agua,Contaminación cuerpo de agua,Arroyo.,,,,,,,historico_2010_2019,2010,1,1,3,0,0,Jan
URY-201000006,2010-01-19,2010-01-19,,Colonia,Colonia del Sacramento,,,-34.9079,-57.7582,CAT_08,Extracción y act. productivas,Extracción de minerales,Extracción de minerales,"Padrón 22.258 ""Real de San Carlos"".",,,,,,,historico_2010_2019,2010,1,1,3,1,0,Jan
URY-201000005,2010-01-19,2010-01-19,,Colonia,Nueva Helvecia,,,-34.3304,-57.749,CAT_04,Contaminación del agua,Vertido de efluentes,Vertido de efluentes,Industria láctea.,,,,,,,historico_2010_2019,2010,1,1,3,1,0,Jan
URY-201000008,2010-01-28,2010-01-28,,Colonia,Conchillas,,,-34.4262,-57.848,CAT_07,Contaminación sonora,Ruido,Ruido,Silos.,,,,,,,historico_2010_2019,2010,1,1,4,3,0,Jan
URY-201000010,2010-02-14,2010-02-14,,Maldonado,,,,-34.8795,-55.1674,CAT_03,Contaminación del aire,Emisiones al aire,Emisiones al aire,Cantera padrón 9299.,,,,,,,historico_2010_2019,2010,2,1,6,6,0,Feb
URY-201000013,2010-02-22,2010-02-22,,Montevideo,,,,-34.8664,-55.918,CAT_03,Contaminación del aire,Emisiones al aire,Emisiones al aire,,,,,,,,historico_2010_2019,2010,2,1,8,0,0,Feb
URY-201000014,2010-02-25,2010-02-25,,Colonia,,,,-34.6049,-58.0605,CAT_09,Otro problema ambiental,Otros,Otros,IM Colonia.,,,,,,,historico_2010_2019,2010,2,1,8,3,0,Feb
URY-201000015,2010-03-04,2010-03-04,,Canelones,San Ramon,,,-34.4835,-56.3271,CAT_04,Contaminación del agua,Vertido de efluentes,Vertido de efluentes,Junta Local de San Ramon ,,,,,,,historico_2010_2019,2010,3,1,9,3,0,Mar
URY-201000016,2010-03-08,2010-03-08,,Montevideo,,,,-35.2186,-56.0217,CAT_03,Contaminación del aire,Olores,Olores,Curtiembre en Nuevo París.,,,,,,,historico_2010_2019,2010,3,1,10,0,0,Mar
URY-201000017,2010-03-16,2010-03-16,,Montevideo,,,,-34.8729,-56.2344,CAT_09,Otro problema ambiental,Sustancias peligrosas,Sustancias peligrosas,,,,,,,,historico_2010_2019,2010,3,1,11,1,0,Mar
